Id,eng,ara
71500, Stumpy, قصير ممتلئ
71501, Stun, أذهل
71502, Stung, لسع
71503, Stunk, منتون
71504, Stunned, مذهل
71505, Stunner, الشيء الرائع
71506, Stunning, الإذهال
71507, Stunningly, بشكل مذهل
71508, Stuns, يذهل
71509, Stunt, العمل المثير
71510, Stunted, معاق
71511, Stuntedness, قلّة الشأن
71512, Stunting, الإعاقة
71513, Stuntman, البديل في لعب الأدوار الخطرة إبّان تصوير الفيلم
71514, Stuntmen, البدلاء في لعب الأدوار الخطرة إبّان تصوير الفيلم
71515, Stunts, الأعمال المثيرة
71516, Stupefaction, التخدّر
71517, Stupefy, أغب
71518, Stupefying, الإغباء
71519, Stupendous, هائل
71520, Stupendously, بشكل هائل
71521, Stupendousness, العظمة المتمثلة بالقوة والحجم الهائل
71522, Stupid, غبي
71523, Stupider, أشدّ غباء
71524, Stupidest, أشدّ غباء
71525, Stupidities, الغباء
71526, Stupidity, الغباء
71527, Stupidly, بشكل غبي & غباء
71528, Stupidness, الغباء
71529, Stupor, الإنذهال
71530, Stuporous, مذهول
71531, Sturbridge, ستربريدج
71532, Sturdier, أكثر ثباتا
71533, Sturdiest, أكثر ثباتا
71534, Sturdily, بثبات
71535, Sturdiness, القوّة
71536, Sturdy, قوي
71537, Sturgeon, ستيرجون - نوع من الأسماك
71538, Sturgeons, ستيرجون - نوع من الأسماك
71539, Sturm, سترم
71540, Stutter, التعتعة
71541, Stuttered, متأتأ
71542, Stutterer, المتهتهة، المتلكّئ بالكلام
71543, Stutterers, المتهتهون، المتلكّؤون بالكلام
71544, Stuttering, التأتأة
71545, Stutteringly, متلجلجًا في كلامه
71546, Stutters, التعتعة
71547, Stuttgart, شتوتغارد
71548, Stuyvesant, ستيفيسانت - المدير الاستعماريّ الهولنديّ الآخر لهولندا الجديدة
71549, Sty, زريبة الخنازير
71550, Stygian, جهنّمي
71551, Style, الأسلوب
71552, Styled, مصمّم
71553, StylePreview, معاينة النمط
71554, Styler, الطراز
71555, Styles, الأساليب
71556, Stylesheets, معدات الشكل
71557, Styli, الإبر
71558, Styling, التصميم
71559, Stylish, أنيق
71560, Stylishly, بشكل أنيق
71561, Stylishness, الأناقة
71562, Stylist, المصمّم
71563, Stylistic, أسلوبيّ
71564, Stylistically, أسلوبيًّا
71565, Stylistics, علم الأساليب
71566, Stylists, المصمّمون
71567, Stylites, زاهد مسيحيّ
71568, Stylization, إضفاء أسلوب
71569, Stylize, جدّد
71570, Stylized, مجدّد
71571, Stylizes, يجدّد
71572, Stylizing, التجديد
71573, Stylograph, قلم الحبر
71574, Stylus, الإبرة
71575, Styluses, الإبر
71576, Stymie, المأزق
71577, Stymied, أعيق
71578, Stymies, يعيق
71579, Styptic, الدواء الذي يسبّب تقلّصات في أنسجة الجسم
71580, Styrene, الستايرين
71581, Styrenes, الستايرين
71582, Styrofoam, الستايروفوم
71583, Styx, ستيكس
71584, Suability, العرضة للمسائلة القانونية
71585, Suable, معرّض للمسائلة القانونية
71586, Suasion, الإقناع
71587, Suasive, مُقْنِع
71588, Suasively, بشكل مُقْنِع
71589, Suasiveness, الإقناع
71590, Suave, رقيق
71591, Suavely, بشكل رقيق
71592, Suaveness, اللّطف
71593, Suavity, الرقّة
71594, Sub, الغواصة
71595, Sub-Department, قسم ثانوي
71596, Sub-number, عدد ثانوي
71597, Subaccount, حساب ثانوي
71598, Subaltern, الملازم الأول
71599, Subarctic, قطب شمالي ثانوي
71600, Subarea, منطقة ثانوية
71601, Subassembly, جمعية ثانوية
71602, Subatomic, ذرّي فرعي
71603, Subaudio, تسجيل صوتي ثانوي
71604, Subbing, العمل كبديل
71605, Subbranch, فرع ثانوي
71606, Subcarrier, ناقل ثانوي
71607, Subcaste, طائفة ثانوية
71608, Subcategorizing, التصنيف الثانوي
71609, Subchain, سلسلة ثانوية
71610, Subchannel, قناة ثانوية
71611, Subclass, الفئة الفرعية
71612, Subclasses, الفئات الفرعية
71613, Subcommand, قيادة ثانوية
71614, Subcommittee, اللجنة الفرعيّة
71615, Subcommittees, اللجان الفرعيّة
71616, Subcompact, ميثاق ثانوي
71617, Subcompacts, السيارات الصغيرة
71618, Subcomponent, مكوّن ثانوي
71619, Subcomponents, المكوّنات الجزئية
71620, Subcomputation, حساب ثانوي
71621, Subconcept, مفهوم ثانوي
71622, Subconscious, اللاشعور
71623, Subconsciously, لا شعوريا
71624, Subconsciousness, العقل الباطن
71625, Subconstituent, ناخب ثانوي
71626, Subcontinent, شبه القارة
71627, Subcontinents, أشباه القارات
71628, Subcontract, المقاولة الفرعية
71629, Subcontracting, التعاقد
71630, Subcontractor, مقاول ثانوي
71631, Subcontractors, المقاولون من الباطن
71632, Subcontracts, المقاولات الفرعيّة
71633, Subculture, ثقافة ثانوية
71634, Subcultures, الأقلّيّات
71635, Subcutaneous, تحت جلدي
71636, Subcutaneously, تحت الجلد
71637, Subdirectories, أدلّة ثانوية
71638, Subdirectory, دليل ثانوي
71639, SubDirs, دليل فرعي
71640, Subdistrict, منطقة ثانوية
71641, Subdivide, قسّم
71642, Subdivided, مقسّم
71643, Subdivider, مقسم ثانوي
71644, Subdivides, يقسّم
71645, Subdividing, التقسيم
71646, Subdivision, المجموعة
71647, Subdivisions, المجاميع
71648, Subdue, أخضع
71649, Subdued, هاديء
71650, Subduedly, بشكل هاديء
71651, Subduer, المُخضع
71652, Subdues, يخضع
71653, Subduing, الإخضاع
71654, Subexpression, تعبير ثانوي
71655, Subfamilies, الفصائل
71656, Subfamily, عائلة ثانوية
71657, Subfield, حقل ثانوي
71658, Subfields, أقسام المجال
71659, Subfile, ملف ثانوي
71660, Subfolders, مجلدات فرعية
71661, Subfont, خطّ ثانوي
71662, Subfreezing, تحت الإنجماد
71663, Subfunction, وظيفة ثانوية
71664, Subgoal, هدف ثانوي
71665, Subgraph, رسم بياني ثانوي
71666, Subgroup, المجموعة الفرعية
71667, Subgrouping, التجميع الثانوي
71668, Subgroups, المجاميع الفرعية
71669, Subhead, رئيس ثانوي
71670, Subheading, العنوان الفرعي
71671, Subheads, العناوين الفرعيّة
71672, Subhuman, إنسان ثانوي
71673, Subindex, دليل ثانوي
71674, Subinterval, فترة ثانوية
71675, Subjacent, قريب ولكن سفليّ
71676, Subject, الموضوع
71677, Subjected, خاضع
71678, Subjecting, الإخضاع
71679, Subjection, الخضوع
71680, Subjections, الخضوع
71681, Subjective, شخصي
71682, Subjectively, بشكل شخصي
71683, Subjectiveness, الشخصيةّ
71684, Subjectivist, الذّاتيّ
71685, Subjectivity, الذاتيّة
71686, Subjects, المواضيع
71687, Subjoin, ألحق
71688, Subjoinder, ملاحظة إضافية
71689, Subjoined, ملحق
71690, Subjoining, الإلحاق
71691, Subjoins, يلحق
71692, Subjugate, أخضع
71693, Subjugated, خاضع
71694, Subjugates, يخضع
71695, Subjugating, الإخضاع
71696, Subjugation, الإخضاع
71697, Subjugations, الإخضاع
71698, Subjunctive, صيغة الشرط
71699, Subjunctively, بصيغة شرطية
71700, Sublayer, طبقة ثانوية
71701, Sublease, الإيجار الفرعي
71702, Subleased, مؤجّر
71703, Subleases, الإيجارات الفرعية
71704, Subleasing, التأجير
71705, Sublet, أجّر
71706, Subletter, رسالة ثانوية
71707, Subletting, الإيجار من الباطن
71708, Sublicense, رخصة ثانوية
71709, Sublimate, المتصعد
71710, Sublimated, مبخّر
71711, Sublimates, المتصعد
71712, Sublimating, التبخير
71713, Sublimation, التسامي
71714, Sublimations, التسامي
71715, Sublime, رفيع
71716, Sublimed, مبخّر
71717, Sublimely, بشكل رفيع
71718, Sublimeness, السّموّ
71719, Sublimer, رفيع
71720, Sublimes, يبخّر
71721, Subliminal, لا شعوري
71722, Subliminally, بشكل لا شعوري
71723, Subliming, التبخير
71724, Sublist, قائمة ثانوية
71725, Subliterary, أدبي فرعي
71726, Sublunary, قمري فرعي
71727, Submachine, السّلاح الخفيف
71728, Submarine, الغوّاصة
71729, Submarined, هاجم باستخدام غواصة
71730, Submariner, عضو طاقم الغوّاصة
71731, Submariners, أعضاء طاقم الغوّاصة
71732, Submarines, الغوّاصات
71733, Submarining, الهجوم باستخدام غواصة
71734, Submenu, قائمة ثانوية
71735, Submerge, إغطس
71736, Submerged, مغمور بالمياه
71737, Submergence, الغطس
71738, Submerges, يغطس
71739, Submergible, قابل للغمر في السائل
71740, Submerging, الغطس
71741, Submerse, يغمر
71742, Submersed, مغمور
71743, Submerses, يغمر
71744, Submersible, غاطس
71745, Submersing, الغمر في السائل
71746, Submission, الإستسلام
71747, Submissions, المقالات
71748, Submissive, مطيع
71749, Submissively, بشكل مطيع
71750, Submissiveness, الخضوع
71751, Submit, قدّم
71752, Submits, يقدّم
71753, Submittal, الخضوع
71754, Submittals, مخططات البناء
71755, Submitted, مقدّم
71756, Submitting, التقديم
71757, Submode, نمط ثانوي
71758, Submodule, وحدة ثانوية
71759, Subnational, مواطن ثانوي
71760, Subnet, الشبكة الفرعية
71761, Subnets, الشبكات الفرعية
71762, Subnetwork, الشبكة الفرعية
71763, Subnetworks, الشبكات الفرعية
71764, Subnormal, وضع طبيعي ثانوي
71765, Subnormally, الغواصة عادة
71766, Suboptimal, مثالي فرعي
71767, Subordinate, التابع
71768, Subordinated, ملحق
71769, Subordinately, بشكل ملحق
71770, Subordinateness, أهمية ثانوية
71771, Subordinates, الأتباع
71772, Subordinating, الإلحاق
71773, Subordination, التبعية
71774, Subordinations, التبعيات
71775, Subordinative, مرؤسي
71776, Subordinator, الإسم الموصول
71777, Suborn, إرش
71778, Subornation, التّحريض
71779, Suborner, المحفّز، المشجّع
71780, Subpage, صفحة ثانوية
71781, Subparagraph, فقرة ثانوية
71782, Subpart, جزء ثانوي
71783, Subplot, مؤامرة ثانوية
71784, Subplots, الحبكات الجانبية
71785, Subpoena, مذكرة الإحضار
71786, Subpoenaed, طلب إحضار
71787, Subpoenaing, طلب إحضار
71788, Subpoenas, مذكرات الإحضار
71789, Subpopulation, سكان ثانوي
71790, Subpopulations, الأقلّيّات
71791, Subproblem, مشكلة ثانوية
71792, Subprocess, إجراء فرعي أو جانبي
71793, Subprogram, برنامج ثانوي
71794, Subprograms, برامج ثانوية أو تكميلية
71795, Subproject, مشروع ثانوي
71796, Subproof, برهان ثانوي
71797, Subquestion, سؤال ثانوي
71798, Subrange, مدى ثانوي
71799, Subregion, منطقة ثانوية
71800, Subregional, إقليمي فرعي
71801, Subregionally, الغواصة محليا
71802, Subregions, الأقاليم الفرعيّة
71803, Subrogation, صلاة ثانوية
71804, Subroutine, روتين ثانوي
71805, Subroutines, الوظائف الفرعية
71806, Subs, الغواصات
71807, Subsample, عيّنة ثانوية
71808, Subsamples, عيّنات من عيّنة
71809, Subscribe, إشترك
71810, Subscribed, مشترك
71811, Subscriber, المشترك
71812, Subscribers, المشتركون
71813, Subscribes, يشترك
71814, Subscribing, الإشتراك
71815, Subscript, مخطوطة ثانوية
71816, Subscripted, الغواصة كتبت
71817, Subscripting, الكتابة الثانوية
71818, Subscription, الإشتراك
71819, Subscriptions, الإشتراكات
71820, Subscripts, الحروف السّفليّة
71821, Subsection, الفرع
71822, Subsections, الفروع
71823, Subsegment, قطعة ثانوية
71824, Subsentence, جملة ثانوية
71825, Subsequence, سلسلة ثانوية
71826, Subsequences, العواقب
71827, Subsequent, لاحق
71828, Subsequently, بعد ذلك
71829, Subsequentness, التبعيّة
71830, Subserve, روّج
71831, Subserved, مروّج
71832, Subserves, يروّج
71833, Subservience, التذلّل
71834, Subserviences, التذلّلات
71835, Subserviency, الذّل
71836, Subservient, متذلّل
71837, Subserviently, بشكل متذلّل
71838, Subservientness, الإذلال
71839, Subserving, الترويج
71840, Subset, مجموعة ثانوية
71841, Subsets, الأجهزة الفرعيّة
71842, Subside, إنحسر
71843, Subsided, منحسر
71844, Subsidence, الخفوت
71845, Subsidences, الخفوت
71846, Subsides, ينحسر
71847, Subsidiaries, الشركات التابعة
71848, Subsidiary, الشركة التابعة
71849, Subsidies, الإعانات المالية
71850, Subsiding, الإنحسار
71851, Subsidization, الدّعم
71852, Subsidize, إدعم
71853, Subsidized, مدعوم
71854, Subsidizer, الدّاعم
71855, Subsidizers, الدّاعمون
71856, Subsidizes, يدعم
71857, Subsidizing, الدعم
71858, Subsidy, الإعانة المالية
71859, Subsist, إقتت
71860, Subsisted, مقتات
71861, Subsistence, العيش
71862, Subsistent, موجود
71863, Subsisting, الإقتيات
71864, Subsists, يقتات
71865, Subsocietal, إجتماعي حضاري فرعي
71866, Subsoil, التربة السفلى
71867, Subsoiler, الحفّار
71868, Subsonic, دون سرعة الصوت
71869, Subspace, فضاء ثانوي
71870, Subspecies, التصنيف النويعي
71871, Substance, المادة
71872, Substances, المواد
71873, Substandard, دون المستوى
71874, Substantial, كبير
71875, Substantiality, المادّيّة
71876, Substantially, بشكل كبير جدا
71877, Substantialness, المادّيّة
71878, Substantiate, ثبّت
71879, Substantiated, مثبّت
71880, Substantiates, يثبّت
71881, Substantiating, التثبيت
71882, Substantiation, الإثبات
71883, Substantiative, مؤيّد، مساند
71884, Substantival, اسميّ
71885, Substantive, الإسم
71886, Substantively, جوهريا
71887, Substantiveness, الإسمية
71888, Substation, محطة ثانوية
71889, Substations, المحطّات الفرعيّة
71890, Substerilization, تعقيم ثانوي
71891, Substituent, البديل
71892, Substitutability, القابلية للإحلال
71893, Substitutable, قابل للاستبدال
71894, Substitute, البديل
71895, Substituted, مستبدل
71896, Substitutes, البدائل
71897, Substituting, الإستبدال
71898, Substitution, البديل
71899, Substitutional, إبدالي
71900, Substitutionally, بشكل إستبدالي
71901, Substitutionary, تعويضي
71902, Substitutions, البدائل
71903, Substitutive, تعويضي
71904, Substitutively, بشكل تعويضي
71905, Substract, يطرح
71906, Substraction, الطّرح
71907, Substrate, الركيزة
71908, Substrates, الركائز
71909, Substratum, الأساس
71910, Substratums, الأسس
71911, Substring, خيط ثانوي
71912, Substruction, البناء تحت مبنى مشيّد
71913, Substructure, تركيب ثانوي
71914, Substructures, الأسس
71915, SubsubType, نوع فرعي ثانوي
71916, Subsumable, قابل للإدراج
71917, Subsume, ضمّن
71918, Subsumed, مضمّن
71919, Subsumes, يضمّن
71920, Subsuming, التضمين
71921, Subsumption, التّصنيف
71922, Subsurface, سطح ثانوي
71923, Subsystem, النظام الفرعي
71924, Subsystems, الأنظمة الفرعية
71925, Subtable, منضدة ثانوية
71926, Subtask, مهمّة ثانوية
71927, Subtenant, المستأجر الباطني
71928, Subtenants, المستأجرون الباطنيون
71929, Subtend, قابل
71930, Subtended, مقابل
71931, Subtending, المقابلة
71932, Subtends, يقابل
71933, Subterfuge, الذريعة
71934, Subterfuges, الذرائع
71935, Subterranean, تحت أرضي
71936, Subterraneanly, بشكل تحت أرضي
71937, Subterraneously, بشكل تحت أرضي
71938, Subterrestrial, أرضي فرعي
71939, Subtest, إختبار ثانوي
71940, Subtitle, العنوان الثانوي
71941, Subtitled, مترجم
71942, Subtitles, العناوين الثانوية
71943, Subtitling, العنونة
71944, Subtle, غير ملحوظ
71945, Subtleness, الدّقة
71946, Subtler, غير ملحوظ
71947, Subtlest, غير ملحوظ
71948, Subtleties, الدقّة
71949, Subtlety, الدقّة
71950, Subtly, بشكل مهذّب
71951, Subtopic, موضوع ثانوي
71952, Subtopics, الموضوعات الفرعيّة
71953, Subtotal, المجموع الأصلي
71954, Subtotals, المجاميع الأصلية
71955, Subtract, إطرح
71956, Subtracted, مطروح
71957, Subtracter, الطارح
71958, Subtracters, الطوارح
71959, Subtracting, الطرح
71960, Subtraction, الطرح
71961, Subtractions, الطرح
71962, Subtractive, مطروح
71963, Subtracts, يطرح
71964, Subtrahend, المطروح
71965, Subtrahends, المطروحات
71966, Subtree, شجرة ثانوية
71967, Subtropical, شبه إستوائي
71968, Subtropics, المناطق الشّبه الاستوائيّة
71969, Subtype, النوع الفرعي
71970, Subtypes, الأنواع الفرعية
71971, Subunit, وحدة ثانوية
71972, Subunits, أقسام لوحدة أكبر
71973, Suburb, الضاحية
71974, Suburban, في ضاحية مدينة
71975, Suburbanite, السّاكن في الضّاحية
71976, Suburbanites, السّكّان في الضّاحية
71977, Suburbanization, تعمير ثانوي
71978, Suburbanized, ممدّن
71979, Suburbanizing, التمدّن
71980, Suburbans, سكان الضواحي
71981, Suburbia, الضواحي
71982, Suburbs, الضواحي
71983, Subvention, الإعانة المالية
71984, Subversion, الفتنة
71985, Subversions, الفتن
71986, Subversive, هدّام
71987, Subversively, بشكل هدّام
71988, Subversiveness, التّخريب
71989, Subvert, خرّب
71990, Subverted, مخرّب
71991, Subverter, المقوّض
71992, Subverting, التخريب
71993, Subverts, يخرّب
71994, Subway, النفق
71995, Subways, الممرات الأرضية
71996, Succeed, إنجح
71997, Succeeded, ناجح
71998, Succeeder, النّاجح
71999, Succeeding, النجاح
72000, Succeeds, ينجح
72001, Success, النجاح
72002, Successes, النجاحات
72003, Successful, ناجح
72004, Successfully, بنجاح
72005, Successfulness, النّجاح
72006, Succession, التعاقب
72007, Successional, متتالي
72008, Successions, التعاقبات
72009, Successive, متعاقب
72010, Successively, بالتوالي
72011, Successiveness, التّتابع
72012, Successor, الوريث
72013, Successors, الورثة
72014, Succinct, مختصر مفيد
72015, Succinctly, باختصار مفيد
72016, Succinctness, الإيجاز
72017, Succor, الإغاثة
72018, Succored, مغاث
72019, Succorer, المُنْجِد
72020, Succoring, الإغاثة
72021, Succors, الإغاثة
72022, Succotash, الذرة مع الفول بالزبدة
72023, Succubus, الشّيطانة
72024, Succulence, النضارة
72025, Succulency, نضارة - كما نضارة الفاكهة
72026, Succulent, النبات الماصّ
72027, Succulently, بشكل ريّان
72028, Succumb, إستسلم
72029, Succumbed, مستسلم
72030, Succumbing, الإستسلام
72031, Succumbs, يستسلم
72032, Such, مثل هذا
72033, Suchlike, وما أشبه ذلك
72034, Suck, الإمتصاص
72035, Sucked, ممتصّ
72036, Sucker, المصّاص
72037, Suckered, خدع
72038, Suckering, الخداع
72039, Suckers, المصّاصون
72040, Sucking, المصّ
72041, Suckle, أرضع
72042, Suckled, مرضع
72043, Suckles, يرضع
72044, Suckling, الرضيع
72045, Sucklings, الرضّع
72046, Sucks, المصّات
72047, Sucrose, السكروز
72048, Suction, الإمتصاص
72049, Suctions, الإمتصاص
72050, Sud, سود
72051, Sudan, السودان
72052, Sudanese, السوداني
72053, Sudanic, سوداني
72054, Sudden, مفاجئ
72055, Suddenly, فجأة
72056, Suddenness, المفاجأة
72057, Sudorific, مفرز للعرق
72058, Suds, الرغوة
72059, Sudser, التمثيلية
72060, Sudsier, أكثر رغوية
72061, Sudsiest, الأكثر رغويّة
72062, Sue, سو
72063, Sued, مقاضى
72064, Suede, الجلد المدبوغ
72065, Sueded, سوديد
72066, Suedes, الجلود المدبوغة
72067, Sueding, التكسية بالجلد المدبوغ
72068, Suer, المشتكي، رافع الدعوى القضائية
72069, Sues, يقاضي
72070, Suet, الشحم
72071, Suets, الشحوم
72072, Suety, دهنيّ
72073, Suey, سوي
72074, Suez, السويس
72075, Suffer, عان
72076, Sufferable, محتمل
72077, Sufferably, بضنك
72078, Sufferance, التسامح
72079, Suffered, عانى
72080, Sufferer, المعاني
72081, Sufferers, المعانون
72082, Suffering, المعاناة
72083, Sufferingly, بشكل معاني
72084, Sufferings, الآلام
72085, Suffers, يعاني
72086, Suffice, إكف
72087, Sufficed, مكفي
72088, Sufficer, الكافي
72089, Suffices, يكفي
72090, Sufficience, بشكل كافي
72091, Sufficiency, الكفاية
72092, Sufficient, كافي
72093, Sufficiently, بما فيه الكفاية
72094, Sufficing, الكفاية
72095, Suffix, اللاحقة
72096, Suffixed, ملحق
72097, Suffixes, اللواحق
72098, Suffixing, الإلحاق
72099, Suffocate, إخنق
72100, Suffocated, مخنوق
72101, Suffocates, يخنق
72102, Suffocating, الخنق
72103, Suffocatingly, باختناق
72104, Suffocation, الخنق
72105, Suffocations, الخنق
72106, Suffocative, إختناقي
72107, Suffolk, سوفولك
72108, Suffragan, مساعد الأسقف
72109, Suffragans, مساعدو الأسقف
72110, Suffrage, التصويت
72111, Suffrages, التصويتات
72112, Suffragette, المطالبة بحقّ اقتراع المرأة
72113, Suffragettes, المطالبات بحقّ اقتراع المرأة
72114, Suffuse, إمتلأ
72115, Suffused, مليء
72116, Suffuses, يمتلئ
72117, Suffusing, الإمتلاء
72118, Suffusion, الانتشار
72119, Suffusive, إنتشاري
72120, Sugar, السكّر
72121, Sugared, سكّري
72122, Sugaring, التحلية
72123, Sugarless, بدون سكّر
72124, Sugarplum, البونبون - نوع من الحلويات
72125, Sugarplums, البونبون - نوع من الحلويات
72126, Sugars, السكّريات
72127, Sugary, سكّري
72128, Suggest, إقترح
72129, Suggested, مقترح
72130, Suggester, المُقترح
72131, Suggestibility, سهولة التّأثّر بالإيحاء
72132, Suggestible, سهل التأثر
72133, Suggesting, الإقتراح
72134, Suggestion, الإقتراح
72135, Suggestions, الإقتراحات
72136, Suggestive, إيحائي
72137, Suggestively, إيحائيا
72138, Suggestiveness, عدم الحشمة
72139, Suggests, يقترح
72140, Suicidal, إنتحاري
72141, Suicidally, إنتحارا
72142, Suicide, الإنتحار
72143, Suicided, إنتحر
72144, Suicides, الإنتحار
72145, Suiciding, الإنتحار
72146, Suing, المقاضاة
72147, Suit, البدلة
72148, Suitability, الملائمة
72149, Suitable, مناسب
72150, Suitableness, الملائمة
72151, Suitably, بشكل مناسب
72152, Suitcase, الحقيبة
72153, Suitcases, الحقائب
72154, Suite, الجناح، الحزمة
72155, Suited, مناسب
72156, Suites, الأجنحة
72157, Suiting, المناسبة
72158, Suitor, مقدّم الطلب
72159, Suitors, مقدمو الطلب
72160, Suits, البدلات
72161, Sukarno, سوكارنو
72162, Sulfa, سلفاوي - مضادّ للبكتيريا
72163, Sulfanilamide, السلفانيلاميد - دواء
72164, Sulfaquinoxaline, دواء للدواجن
72165, Sulfate, كبرت
72166, Sulfated, مكبرت
72167, Sulfates, يكبرت
72168, Sulfating, الكبرتة
72169, Sulfide, الكبريتيد
72170, Sulfides, الكبريتيد
72171, Sulfite, ملح حمض الكبريتوز
72172, Sulfites, أملاح حمض الكبريتوز
72173, Sulfonamide, عقاقير السلفا - مضادةّ للبكتيريا
72174, Sulfonamides, عقاقير السلفا - مضادةّ للبكتيريا
72175, Sulfur, الكبريت
72176, Sulfured, عالج بالكبريت
72177, Sulfuric, كبريتيّ
72178, Sulfuring, المعالجة بالكبريت
72179, Sulfurous, حار ورطب
72180, Sulfurously, بحرارة
72181, Sulfurousness, الجهنّمية
72182, Sulk, التبويز
72183, Sulked, معبّس
72184, Sulkier, عبوس
72185, Sulkies, سولكيس
72186, Sulkily, بشكل عبوس
72187, Sulkiness, العبوس
72188, Sulking, التعبيس
72189, Sulks, التبويز
72190, Sulky, عبوس
72191, Sullen, متجهّم
72192, Sullenly, بشكل متجهّم
72193, Sullenness, العبوس
72194, Sullied, ملطّخ
72195, Sullies, يلطّخ
72196, Sullivan, سوليفان
72197, Sully, لطّخ
72198, Sullying, التلطيخ
72199, Sulphate, الكبريتات
72200, Sulphates, الكبريتات
72201, Sulphide, الكبريتيد
72202, Sulphonal, سولفونال
72203, Sulphonamides, السولفونامايد
72204, Sulphur, الكبريت
72205, Sulphurate, كبرت
72206, Sulphurated, مكبرت
72207, Sulphurates, يكبرت
72208, Sulphurating, الكبرتة
72209, Sulphured, عالج بالكبريت
72210, Sulphureous, كبريتيّ
72211, Sulphuric, كبريتي
72212, Sulphurous, كبريتيّ
72213, Sultan, سلطان
72214, Sultana, الكشمش
72215, Sultanas, الكشمش
72216, Sultanate, السلطنة
72217, Sultanates, السلطنات
72218, Sultans, السلاطين
72219, Sultrier, خانق
72220, Sultriest, خانق
72221, Sultrily, بشكل متّقد
72222, Sultriness, الإتّقاد
72223, Sultry, خانق
72224, Sulzberger, سولسبيرغ
72225, Sum, المبلغ
72226, Sumac, السماق
72227, Sumatra, سومطرة
72228, Sumer, منطقة سومر. مكان الحضارة السّامرية
72229, Sumeria, بلاد سومر
72230, Sumerian, السومري
72231, Summable, يمكن جمعه
72232, Summand, رقم من المجموع
72233, Summaries, الخلاصات
72234, Summarily, بشكل وجيز
72235, Summariness, الخلاصة
72236, Summarization, الملخّص
72237, Summarize, لخّص
72238, Summarized, ملخّص
72239, Summarizer, المُوْجِزْ
72240, Summarizes, يلخّص
72241, Summarizing, التلخيص
72242, Summary, الخلاصة
72243, Summate, يجمع، يلخّص
72244, Summation, الجمع، الملخّصات
72245, Summations, الجمع، الملخّصات
72246, Summed, مجموع
72247, Summer, الصيف
72248, Summer-resort, المصيف
72249, Summerdale, سميرديل
72250, Summered, صيّف، قضى فصل الصيف
72251, Summering, قضاء فصل الصيف
72252, Summerly, صيفي
72253, Summers, فصول الصيف
72254, Summertime, الصيف
72255, Summertimes, الصيف
72256, Summery, صيفي
72257, Summing, الجمع
72258, Summing-up, الملخّص
72259, Summit, القمّة
72260, Summitry, عقد مؤتمرات القمّة
72261, Summits, القمم
72262, Summon, إستدع
72263, Summoned, مستدعى
72264, Summoner, المُستدعي
72265, Summoning, الإستدعاء
72266, Summons, مذكرة الحضور
72267, Summonses, مذكرات الحضور
72268, Sumner, سمنر - خبير كيمياء حيوية. أمريكي
72269, Sumo, السومو
72270, Sump, القرارة
72271, Sumps, القرارة
72272, Sumpter, حصان الحنطور
72273, Sumpters, خيول الحنطور
72274, Sumptuary, محدد للنفقات
72275, Sumptuous, فاخر
72276, Sumptuously, بشكل فاخر
72277, Sumptuousness, الفخامة
72278, Sums, المبالغ
72279, Sumter, سمتر
72280, Sun, الشمس
72281, Sunbaked, مشمّس
72282, Sunbath, حمّام شمس
72283, Sunbathe, تشمّس
72284, Sunbathed, متشمّس
72285, Sunbather, المتشمس
72286, Sunbathers, المتشمسون
72287, Sunbathes, يتشمّس
72288, Sunbathing, التشمّس
72289, Sunbeam, شعاع الشمس
72290, Sunbeams, أشعة الشمس
72291, Sunbelt, الحزام الشمسي
72292, Sunbonnet, القبّعة
72293, Sunburn, حرق الشمس
72294, Sunburned, حرقة الشمس
72295, Sunburns, حروق الشمس
72296, Sunburnt, مسفوع
72297, Sunday, الأحد
72298, Sundays, أيام الأحد
72299, Sunder, إفصل
72300, Sundered, مفصول
72301, Sundering, الفصل
72302, Sunders, يفصل
72303, Sundew, سنديو
72304, Sundial, الساعة الشمسية
72305, Sundials, الساعات الشمسية
72306, Sundown, المغيب
72307, Sundowner, الخمر، المتشرّد
72308, Sundowners, الخمر، المتشرّدون
72309, Sundowns, المغيب
72310, Sundries, المتفرّقات
72311, Sundry, مختلف
72312, Sunfish, سمكة الشّمس
72313, Sunflower, عبّاد الشمس
72314, Sunflowers, عبّاد الشمس
72315, Sung, مغنّى
72316, Sunglass, عدسة مكبرة
72317, Sunglasses, النظارات الشمسية
72318, Sunk, غارق
72319, Sunken, غارق
72320, Sunlamp, المصباح الشّمسي
72321, Sunlamps, المصابيح الشّمسيّة
72322, Sunless, عديم الشمس
72323, Sunlight, نور الشمس
72324, Sunlights, نور الشمس
72325, Sunlit, مضاء بنور الشمس
72326, Sunned, تشمّس
72327, Sunnier, أشمس
72328, Sunniest, أشمس
72329, Sunniness, نور الشمس
72330, Sunning, التشمّس
72331, Sunny, مشمس
72332, Sunnyvale, ساني فيل
72333, Sunrise, شروق الشمس
72334, Sunrises, الشّروق
72335, Suns, الشموس
72336, Sunscreen, حاجبة الأشعّة الشمسيّة
72337, Sunset, الغروب
72338, Sunsets, الغروب
72339, Sunshade, الشمسيّة
72340, Sunshades, الشمسيّات
72341, Sunshine, شروق الشمس
72342, Sunshines, شروق الشمس
72343, Sunshiny, مشرق
72344, Sunspot, البقعة الشمسية
72345, Sunspots, البقع الشمسية
72346, Sunstroke, ضربة الشمس
